序号,书名,评分,评价人数,作者,出版社,出版日期,价格
1,计算机程序的构造和解释 : 原书第2版,9.5,1678,Harold Abelson、Gerald Jay Sussman、Julie Sussman , 机械工业出版社 , 2004-2 , 45.00元
2,深入理解计算机系统,9.5,2446,Randal E.Bryant、David O'Hallaron , 中国电力出版社 , 2004-5-1 , 85.00元
3,C程序设计语言 : 第 2 版・新版,9.4,3659,（美）Brian W. Kernighan、（美）Dennis M. Ritchie , 机械工业出版社 , 2004-1 , 30.00元
4,UNIX环境高级编程 : 第2版,9.4,2044,W.Richard Stevens、Stephen A.Rago , 人民邮电出版社 , 2006年 , 99.00元
5,代码大全（第2版）,9.3,3218,[美] 史蒂夫・迈克康奈尔 , 电子工业出版社 , 2006-3 , 128.00元
6,算法导论（原书第2版）,9.3,4567,[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein , 机械工业出版社 , 2006-9 , 85.00元
7,JavaScript高级程序设计（第3版）,9.3,1257,[美] Nicholas C. Zakas , 人民邮电出版社 , 2012-3-29 , 99.00元
8,C++ Primer 中文版（第 4 版）,9.2,4069,Stanley B.Lippman、Josée LaJoie、Barbara E.Moo , 人民邮电出版社 , 2006 , 99.00元
9,编程珠玑 : 第2版,9.2,1743,Jon Bentley , 人民邮电出版社 , 2008-10 , 39.00元
10,编码 : 隐匿在计算机软硬件背后的语言,9.2,1520,[美] Charles Petzold , 电子工业出版社 , 2010 , 55.00元
11,C专家编程,9.2,1718,Peter Van Der Linden , 人民邮电出版社 , 2008-2 , 45.00元
12,C Primer Plus : （第五版）,9.2,1454,Stephen Prata、云巅工作室 , 人民邮电出版社 , 2005-2-1 , 60.00元
13,Effective C++中文版,9.2,1274,[美] Scott Meyers , 华中科技大学出版社 , 2001-9 , 49.80元
14,Head First 设计模式（中文版）,9.2,2251,弗里曼 , 中国电力出版社 , 2007-9 , 98.00元
15,Java编程思想 （第4版）,9.1,2646,[美] Bruce Eckel , 机械工业出版社 , 2007-6 , 108.00元
16,设计模式 : 可复用面向对象软件的基础,9.1,2487,[美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides , 机械工业出版社 , 2000-9 , 35.00元
17,深度探索C++对象模型,9.1,1341,[美] Stanley B. Lippman , 华中科技大学出版社 , 2001-5 , 54.00元
18,Effective java 中文版（第2版）,9.1,1120,Joshua Bloch , 机械工业出版社 , 2009-1-1 , 52.00元
19,JavaScript语言精粹,9.1,1418,Douglas Crockford , 电子工业出版社 , 2009年 , 35.00
20,敏捷软件开发 : 原则、模式与实践,9.1,1191,Robert C. Martin , 清华大学出版社 , 2003-09-01 , 59.00元
21,UNIX编程艺术,9.0,1956,Eric S. Raymond , 电子工业出版社 , 2006-2 , 59.00元
22,重构 : 改善既有代码的设计,9.0,1931,Martin Fowler , 中国电力出版社 , 2003-8-1 , 68.00元
23,集体智慧编程,9.0,1179,TOBY SEGARAN , 电子工业出版社 , 2009-1 , 59.80元
24,C和指针,9.0,1079,Kenneth A.Reek , 人民邮电出版社 , 2008 年4月 , 65.00元
25,DOOM启世录,9.0,1246,[美] 大卫・卡什诺 , 电子工业出版社 , 2004-4 , 29.00元
26,C陷阱与缺陷 : C语言调试指南,8.9,1135,凯尼格 , 人民邮电出版社 , 2008-2-1 , 30.00元
27,数据结构与算法分析 : C语言描述,8.9,1339,Mark Allen Weiss (维斯) , 机械工业出版社 , 2004-1-1 , 35.00元
28,程序员的自我修养 : 链接、装载与库,8.8,1756,俞甲子、石凡、潘爱民 , 电子工业出版社 , 2009-4 , 65.00
29,黑客与画家 : 硅谷创业之父Paul Graham文集,8.8,13132,[美] Paul Graham , 人民邮电出版社 , 2011-4 , 49.00元
30,STL源码剖析,8.7,1103,侯捷 , 华中科技大学出版社 , 2002-6 , 68.00元
31,软件随想录 : 程序员部落酋长Joel谈软件,8.7,2117,Joel Spolsky , 人民邮电出版社 , 2009 , 49.00元
32,JavaScript DOM编程艺术,8.7,1073,Jeremy Keith , 人民邮电出版社 , 2006年12月 , 39.00元
33,HTTP权威指南 : 权威指南,8.7,1023,David Gourley、Brian Totty , 人民邮电出版社 , 2012-9 , 109.00元
34,程序员修炼之道 : 从小工到专家,8.6,2021,Andrew Hunt、David Thomas , 电子工业出版社 , 2005-1 , 48.00元
35,编程之美 : 微软技术面试心得,8.4,2857,《编程之美》小组 编 , 电子工业出版社 , 2008-3 , 40.00元
36,程序员的思维修炼 : 开发认知潜能的九堂课,8.3,1549,Andy Hunt , 人民邮电出版社 , 2010-12-10 , 39.00元
37,大话设计模式,8.3,1556,程杰 , 清华大学出版社 , 2007-12-1 , 45.00元
38,Dive Into Python,8.2,1092,Mark Pilgrim , Apress , 19 July, 2004 , $39.99
39,Python基础教程,7.9,1432,Magnus Lie Hetland , 人民邮电出版社 , 2010年7月 , 69.00元
40,Python核心编程（第二版）,7.7,1326,[美]Wesley J. Chun（仲才） , 人民邮电出版社 , 2008-06 , 89.00元
